,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
90,25.04.2017,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,
91,26.04.2017,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,,
92,27.04.2017,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,
93,28.04.2017,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,
94,29.04.2017,,,,,,,,,,,,,,,,,,,,,,,
95,01.05.2017,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,
96,02.05.2017,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,
97,03.05.2017,,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0
98,04.05.2017,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,1.0,
99,05.05.2017,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,
100,06.05.2017,,,,,,,,,,,,,,,,,,,,,,,
101,08.05.2017,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,1.0,
102,09.05.2017,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,
103,10.05.2017,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,
104,11.05.2017,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,
105,12.05.2017,,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,,
106,13.05.2017,,,,,,,,,,,,,,,,,,,,,,,
107,15.05.2017,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,
108,16.05.2017,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,
109,17.05.2017,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,
110,18.05.2017,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
111,19.05.2017,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,20.05.2017,,,,,,,,,,,,,,,,,,,,,,,
113,22.05.2017,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,
114,23.05.2017,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,
115,24.05.2017,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0
116,25.05.2017,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,1.0,1.0
117,26.05.2017,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,1.0
118,27.05.2017,,,,,,,,,,,,,,,,,,,,,,,
119,29.05.2017,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,
120,30.05.2017,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0
121,31.05.2017,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,
122,01.06.2017,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0
123,02.06.2017,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0
124,03.06.2017,,,,,,,,,,,,,,,,,,,,,,,
125,05.06.2017,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,
126,06.06.2017,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0
127,07.06.2017,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,
128,08.06.2017,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,
129,09.06.2017,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0
130,10.06.2017,,,,,,,,,,,,,,,,,,,,,,,
131,12.06.2017,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,
132,13.06.2017,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0
133,14.06.2017,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,
134,15.06.2017,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0
135,16.06.2017,,1.0,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,
136,17.06.2017,,,,,,,,,,,,,,,,,,,,,,,
137,19.06.2017,,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0
138,20.06.2017,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,
139,21.06.2017,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,
140,22.06.2017,,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,
141,23.06.2017,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0
142,24.06.2017,,,,,,,,,,,,,,,,,,,,,,,
143,26.06.2017,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,
144,27.06.2017,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,1.0
145,28.06.2017,,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,
146,29.06.2017,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
147,30.06.2017,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,
148,01.07.2017,,,,,,,,,,,,,,,,,,,,,,,
149,03.07.2017,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0
150,04.07.2017,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,
